trigger,frontend_caller,tauri_command,rust_call_path,durable_reconstruction,triptych_verification,other_crypto_verification,historical_ballots_touched,sync_main_thread,security_necessity,cache_eligibility,recommended_change,post_slice1_status
Manage Election screen mount (restart reconciliation),gui/src/screens/ManageElection.tsx:602-624,sync_private_intake,lib.rs:1865 -> private_intake_inbox.rs:237 -> session.rs:317 reconcile -> (new only) session.rs:374 full verify -> write_workspace_revision -> load_committed_history,PARTIAL (new packages verified; known ones short-circuit on a LINEAR transcript scan session.rs:336-341),YES for packages not yet in the transcript,blake3 digest per inbox file; O(N^2) digest comparisons,ALL inbox files read+hashed with an O(N) scan each,YES,Verification of a NEW package is REQUIRED,Known-digest set ELIGIBLE,Make async + spawn_blocking; replace the linear scan with a digest set,UNCHANGED: verifies only genuinely NEW inbox ballots; off-thread + dedup deferred
Manage Election auto-sync timer (every 4 s while OPEN),gui/src/screens/ManageElection.tsx:677-684 -> autoSyncTick ManageElection.tsx:631-665,organizer_tor_status then sync_private_intake,same as above,PARTIAL,YES for genuinely new packages,blake3 per inbox file,ALL inbox files every 4 s,YES (sync_private_intake),New-package verification REQUIRED; re-reading known files is NOT,Known-digest set ELIGIBLE,Make async; skip files whose digest is already decided,UNCHANGED: verifies only genuinely NEW inbox ballots; off-thread + dedup deferred
Manage Election > Sync accepted ballots button,gui/src/screens/ManageElection.tsx:527,sync_private_intake,same as above,PARTIAL,YES for new packages,blake3 per file,ALL inbox files,YES,Required for new packages,ELIGIBLE for known ones,Make async,UNCHANGED: verifies only genuinely NEW inbox ballots; off-thread + dedup deferred
Manage Election > Import ballot package file,gui/src/screens/ManageElection.tsx:443,intake_ballot_package,lib.rs:1787 -> read_ballot_package_file_bounded_v1 -> mutate_session_transactionally -> session.rs:286 -> full verify -> write_workspace_revision -> load_committed_history,NO session replay; FULL revision-history decode,YES (exactly ONE new ballot),blake3 package digest + revision digests,1 proof + ALL prior revisions decoded,YES,ONE new-ballot verification REQUIRED,History read ELIGIBLE,Make async; cache head revision+digest,UNCHANGED: required new-ballot verification; off-thread deferred to a later slice
Manage Election > Write finalized archive,gui/src/screens/ManageElection.tsx:776,write_finalized_archive,lib.rs:1972 -> run_blocking_command -> archive_writer.rs,NO,NO,blake3 over the whole archive,ALL packages hashed (no proof verification),NO,Archive integrity required,NOT eligible (writes a new artifact),No change,UNCHANGED: already performed no historical replay
Archive screen > Verify archive button,gui/src/screens/Archive.tsx:781,verify_archive,lib.rs:2018 -> run_blocking_command -> archive_verify.rs:86 -> archive/verifier.rs:263 -> STAGE_BALLOT_REPLAY verifier.rs:435-446 full replay,YES (archive-authoritative replay),YES,blake3 file digests + archive-hash rebuild,ALL archived packages,NO (spawn_blocking),REQUIRED - this IS the independent verifier,ELIGIBLE per (archive dir + archive hash) within one process run only,Keep semantics; optionally memoise per archive hash for repeat clicks in one run,UNCHANGED: on-demand archive replay, already off-thread; R-7 triple-replay redundancy deferred
Archive screen > Verify transport anchor,gui/src/screens/Archive.tsx (api.verifyTransportArchiveAnchor),verify_transport_archive_anchor,lib.rs:2026 -> run_blocking_command -> transport_anchor.rs:37 (re-runs the archive verifier),YES,YES,anchor digest + transport batch-set commitment,ALL archived packages,NO,REQUIRED,ELIGIBLE per archive hash,Reuse the just-computed archive verification instead of re-running it,UNCHANGED: on-demand archive replay, already off-thread; R-7 triple-replay redundancy deferred
Anchor deployment > Write live anchor config,gui/src/screens/ManageElection.tsx:846 (api.writeLiveAnchorConfig),write_live_anchor_config_from_verified_archive,lib.rs:2085 -> run_blocking_command -> live_anchor_config.rs:148 verify_archive_directory_v1 full replay,YES,YES,archive hashes + trusted-deployment binding,ALL archived packages,NO,REQUIRED (config must derive from a verified archive),ELIGIBLE per archive hash,Reuse a verified-archive result keyed by archive hash,UNCHANGED: on-demand archive replay, already off-thread; R-7 triple-replay redundancy deferred
Anchor deployment > Run lifecycle step,gui/src/screens/ManageElection.tsx:950,run_live_anchor_lifecycle_step,lib.rs:2179 -> run_blocking_command -> anchor driver (network),NO,NO,anchor receipt/finality verification (anchor-transport/src/verification.rs:71/127/154),0,NO,REQUIRED,Not applicable (live network state),No change,UNCHANGED: live network verification, off-thread
Create Election screen mount,gui/src/screens/CreateElection.tsx:213-215,get_or_create_election_draft,lib.rs:2403 (in-memory only),NO,NO,none,0,YES but trivial,n/a,n/a,No change,UNCHANGED: already performed no historical replay
Create Election > any draft field edit,gui/src/screens/CreateElection.tsx set_draft_* handlers,set_draft_basics/rules/voters/options/presentation/governance_*,lib.rs:2505-2745 -> mutate_draft_transactionally lib.rs:959 -> draft.replayed_clone (no crypto) -> write_draft_workspace_revision_v1 -> workspace.rs:684 load_committed_history,NO session replay; FULL draft revision-history decode,NO,blake3 revision digests,ALL prior draft revisions decoded (each embeds the full voter key list),YES,Revision-chain integrity,History read ELIGIBLE,Cache head revision+digest; make async,UNCHANGED: already performed no historical replay
Create Election > Freeze,gui/src/screens/CreateElection.tsx:520,freeze_election,lib.rs:2609 -> draft.replayed_clone -> draft.freeze() -> GuiElectionSessionV1::new session.rs:78 -> build_tari_triptych_verifier_from_registry_v1 (R decompressions) -> write_session_workspace_revision_v1,NO ballot replay; verifier construction validates ALL R registry keys,NO ballot proofs,R Ristretto canonicality checks,0 ballots; R keys,YES,Registry-key canonicality REQUIRED once per session,Verifier ELIGIBLE per registry commitment,Make async; cache the built verifier per registry commitment,IMPROVED: registry-key check unchanged; post-freeze listing now metadata-only
Create Election > Freeze (post-action list refresh),gui/src/screens/CreateElection.tsx:525,list_election_workspaces,same as startup path,YES,YES,same,ALL packages in EVERY workspace,YES,NOT required,ELIGIBLE,Metadata-only listing,IMPROVED: listing now metadata-only (0 replay); legitimate refresh retained
Manage Election > Load election (three files),gui/src/screens/ManageElection.tsx -> AppState.tsx:281-305,load_election,lib.rs:1144 -> run_blocking_command -> GuiElectionSessionV1::new (R decompressions) + Ed25519 status reapply,NO ballot replay,NO,R registry-key canonicality + Ed25519 status signature,0 ballots; R keys,NO (spawn_blocking),Required once per load,Verifier ELIGIBLE per registry commitment,Cache the verifier per registry commitment,UNCHANGED: already performed no historical replay
Manage Election > Load election (three files) post-load list refresh,AppState.tsx:298,list_election_workspaces,same as startup path,YES,YES,same,ALL packages in EVERY workspace,YES,NOT required,ELIGIBLE,Metadata-only listing,IMPROVED: listing now metadata-only (0 replay); legitimate refresh retained
Manage Election > Load election folder,AppState.tsx:307-329,load_election_folder,lib.rs:1174 -> same blocking loader,NO ballot replay,NO,R key canonicality + Ed25519,0 ballots; R keys,NO,Required once,ELIGIBLE,Cache the verifier per registry commitment,UNCHANGED: already performed no historical replay
Manage Election > Load election folder post-load list refresh,AppState.tsx:322,list_election_workspaces,same as startup path,YES,YES,same,ALL packages in EVERY workspace,YES,NOT required,ELIGIBLE,Metadata-only listing,IMPROVED: listing now metadata-only (0 replay); legitimate refresh retained
Unload election,AppState.tsx:383-398,unload_election then list_election_workspaces,lib.rs:1341 (cheap) then lib.rs:1406 (full replay),YES (via the refresh),YES,same,ALL packages in EVERY workspace,YES,NOT required,ELIGIBLE,Metadata-only listing,RESOLVED: listing metadata-only; 0 replay
Vote screen mount / re-navigation,gui/src/screens/Vote.tsx:463-510,voter_confirmation + voter_governance_credential_status + list_saved_voter_credentials + voter_workflow_status + managed_tor_test_status + voter_tor_status,lib.rs:2777 / 2945 / 2801 / 3035 / managed_tor_test.rs:795 / 597,NO,NO,optional governance-document blake3; cast-lock journal read,0,voter_confirmation + voter_workflow_status + voter_tor_status YES,Cast-lock read REQUIRED,n/a,Leave; all bounded,UNCHANGED: already performed no historical replay
Vote screen 5 s managed-Tor status timer,gui/src/screens/Vote.tsx:519-528,managed_tor_test_status,managed_tor_test.rs:795 (async),NO,NO,none,0,NO,n/a,n/a,No change,UNCHANGED: already performed no historical replay
Vote screen automatic lifecycle refresh (20 s + jitter),gui/src/lifecycleAutoRefresh.ts:33/187-213 -> Vote.tsx:553-591,fetch_election_status_private,election_status_commands.rs:447 (async) -> election_status.rs:665 verify_and_apply,NO,NO,ONE Ed25519 signature verify + binding equality,0,NO,REQUIRED,NOT eligible (a fresh signed statement each time),No change,UNCHANGED: single required operation, not a historical replay
Vote screen > Prepare ballot,gui/src/screens/Vote.tsx:809,prepare_voter_ballot,lib.rs:3252 -> run_blocking_command -> voter_session.rs prepare_ballot (Triptych PROVE),NO,NO (proving not verifying),Triptych proof GENERATION + own-proof self-check,0 historical,NO (spawn_blocking),REQUIRED,NOT eligible,No change,UNCHANGED: single required operation, not a historical replay
Vote screen > Submit privately,gui/src/screens/Vote.tsx:973,submit_prepared_voter_ballot_privately,lib.rs:3424 (async under managed-tor-test) / lib.rs:3409 (sync fallback),NO,NO,HPKE seal + receipt Ed25519 verify,0,Only in the non-managed-tor build,REQUIRED,NOT eligible,Make the fallback variant async too,UNCHANGED: single required operation, not a historical replay
Vote screen > Import signed status artifact,gui/src/screens/Vote.tsx:881,import_election_status_artifact,election_status_commands.rs:240 (async) -> election_status.rs:665,NO,NO,ONE Ed25519 verify,0,NO,REQUIRED,NOT eligible,No change,UNCHANGED: single required operation, not a historical replay
Evidence screen > Inspect evidence,gui/src/screens/Evidence.tsx,inspect_anchor_evidence,lib.rs:2166 -> gui-core inspect.rs,NO,NO,anchor digest structure checks (no signature),0,YES (file read),Inspection only,n/a,Make async (LOW),UNCHANGED: already performed no historical replay
Anchor screen > Inspect config/snapshot,gui/src/screens/Anchor.tsx,inspect_anchor_config / inspect_anchor_snapshot,lib.rs:2154 / 2160,NO,NO,none,0,YES (file read),Inspection only,n/a,Make async (LOW),UNCHANGED: already performed no historical replay
Settings / About / Guide screens,gui/src/screens/{Settings,About,Guide}.tsx,none,n/a,NO,NO,none,0,n/a,n/a,n/a,No change,UNCHANGED: already performed no historical replay
Organizer private-intake collector (background worker thread),n/a (inbound Tor request; not a UI trigger),n/a (in-process worker started by start_private_intake),organizer_tor_intake.rs:914 GuiElectionSessionV1::new + OrganizerCollectorServiceLoopV1::start (own thread) -> per-ballot verify off the main thread,NO,YES (one NEW ballot per accepted request),HPKE open + descriptor Ed25519 + receipt signing,1 per request,NO (worker thread),REQUIRED,NOT eligible,No change - correctly off-thread,UNCHANGED: verifies new ballots on its own worker thread
