command,sync_async,frontend_callers,filesystem_work,network_work,crypto_work,session_reconstruction,potential_duration,main_thread_risk,recommended_execution_model,post_slice1_status
voter_workflow_status,sync,Vote.tsx:705 (mount + after most actions),cast-lock journal read (pre-resolved dir),none,none,reads in-memory session + voter,milliseconds,LOW,Remain synchronous - already carefully lock-ordered,UNCHANGED (out of scope this slice)
voter_ballot_selection_status,sync,Vote.tsx:718,none,none,none,reads in-memory session,microseconds,NONE,Remain synchronous,UNCHANGED (out of scope this slice)
set_voter_ballot_selection,sync,Vote.tsx:748,none,none,none,in-memory,microseconds,NONE,Remain synchronous,UNCHANGED (out of scope this slice)
clear_voter_ballot_selection,sync,Vote.tsx:747,none,none,none,in-memory,microseconds,NONE,Remain synchronous,UNCHANGED (out of scope this slice)
change_my_ballot_choice,sync,Vote.tsx:860,none,none,zeroize of the prepared package,in-memory,microseconds,NONE,Remain synchronous,UNCHANGED (out of scope this slice)
prepare_voter_ballot,async (spawn_blocking),Vote.tsx:809,cast-lock read,none,Triptych proof GENERATION,in-memory artifacts clone,measured ~167 ms at small R; scales with ring size,NONE,No change,UNCHANGED (out of scope this slice)
export_prepared_voter_ballot,sync,Vote.tsx:835,package write + read-back verify + cast-lock journal fsync,none,blake3 read-back comparison,in-memory,tens of ms (multiple fsyncs),MEDIUM,Make async + spawn_blocking,UNCHANGED (out of scope this slice)
private_transport_availability,sync,Vote.tsx:811 (2 sites),none,none,none,in-memory,microseconds,NONE,Remain synchronous,UNCHANGED (out of scope this slice)
submit_prepared_voter_ballot_privately,sync in builds WITHOUT managed-tor-test (lib.rs:3409); async with it (lib.rs:3424),Vote.tsx:973,release journal writes,YES via Tor when enabled,HPKE seal + receipt Ed25519 verify,in-memory,seconds over Tor,MEDIUM (only in the non-managed-tor build),Make the fallback variant async too,UNCHANGED (out of scope this slice)
reset_voter_workflow,sync,none found,none,none,zeroize,in-memory,microseconds,NONE,Remain synchronous,UNCHANGED (out of scope this slice)
write_archive_with_governance_document,sync,none found (client wrapper only),writes the FULL archive directory + reads a user document,none,blake3 over every archived package and file,none,O(archive size) - seconds for a large election,HIGH,Make async + spawn_blocking (or delete if genuinely unused),UNCHANGED (out of scope this slice)
configure_managed_tor_test,sync,Vote.tsx:1104,tor.exe probe + bundle file read,none,root + descriptor Ed25519 verification,none,tens of ms,MEDIUM,Make async + spawn_blocking,UNCHANGED (out of scope this slice)
voter_tor_status,sync,Vote.tsx:1125,filesystem probes across the tor.exe allowlist,none,none,none,milliseconds to tens of ms,LOW,Make async (LOW priority),UNCHANGED (out of scope this slice)
start_managed_tor,async (spawn_blocking),Vote.tsx:1148,Tor data dir writes,YES - spawns Tor and probes SOCKS5,none,none,seconds to tens of seconds,NONE,No change,UNCHANGED (out of scope this slice)
stop_managed_tor,async (spawn_blocking),Vote.tsx:1207,none,child reap,none,none,seconds,NONE,No change,UNCHANGED (out of scope this slice)
managed_tor_test_status,async (spawn_blocking),Vote.tsx:1068 (mount + 5 s timer),status file reads,SOCKS5 liveness probe,none,none,hundreds of ms,NONE,No change,UNCHANGED (out of scope this slice)
retry_private_submission,async (spawn_blocking),Vote.tsx:1060 (2 sites),release journal,YES via Tor,HPKE seal + receipt verify,none,seconds,NONE,No change,UNCHANGED (out of scope this slice)
organizer_tor_status,async (spawn_blocking),ManageElection.tsx:555 (mount + 4 s timer),tor.exe probe + hidden-service dir read,collector liveness,none,none,hundreds of ms,NONE,No change,UNCHANGED (out of scope this slice)
start_private_intake,async (spawn_blocking),ManageElection.tsx:706,Tor run dir + torrc + hidden-service writes,YES - spawns Tor and binds the collector,R key canonicality for the worker session + descriptor Ed25519,builds a worker session (no ballot replay),seconds to tens of seconds,NONE,No change,UNCHANGED (out of scope this slice)
stop_private_intake,async (spawn_blocking),ManageElection.tsx:720,none,child reap + worker join,none,none,seconds,NONE,No change,UNCHANGED (out of scope this slice)
export_voter_transport_bundle,sync,ManageElection.tsx:736,writes the voter bundle file,none,none,none,milliseconds,LOW,Make async (LOW priority),UNCHANGED (out of scope this slice)
export_election_status_artifact,async,ManageElection.tsx:762,status artifact write + issuance-ledger reservation,none,ONE Ed25519 signing operation,reads in-memory session,milliseconds,NONE,No change,UNCHANGED (out of scope this slice)
import_election_status_artifact,async,Vote.tsx:881,status file read + persisted record write,none,ONE Ed25519 verify,advances the in-memory lifecycle,milliseconds,NONE,No change,UNCHANGED (out of scope this slice)
fetch_election_status_private,async,Vote.tsx:929 (20 s + jitter timer),persisted record write,YES over Tor,ONE Ed25519 verify,advances the in-memory lifecycle,seconds over Tor,NONE,No change,UNCHANGED (out of scope this slice)
