name,version,license,repository
chacha20poly1305,0.11.0,Apache-2.0 OR MIT,https://github.com/RustCrypto/AEADs
chrono,0.4.45,MIT OR Apache-2.0,https://github.com/chronotope/chrono
cipher,0.3.0,MIT OR Apache-2.0,https://github.com/RustCrypto/traits
cipher,0.4.4,MIT OR Apache-2.0,https://github.com/RustCrypto/traits
cipher,0.5.2,MIT OR Apache-2.0,https://github.com/RustCrypto/traits
cmake,0.1.58,MIT OR Apache-2.0,https://github.com/rust-lang/cmake-rs
cmov,0.5.4,Apache-2.0 OR MIT,https://github.com/RustCrypto/utils
combine,4.6.7,MIT,https://github.com/Marwes/combine
config,0.14.1,MIT OR Apache-2.0,https://github.com/rust-cli/config-rs
const-str,0.4.3,MIT,https://github.com/Nugine/const-str
const_format,0.2.36,Zlib,https://github.com/rodrimati1992/const_format_crates/
const_format_proc_macros,0.2.34,Zlib,https://github.com/rodrimati1992/const_format_crates/
constant_time_eq,0.4.2,CC0-1.0 OR MIT-0 OR Apache-2.0,https://github.com/cesarb/constant_time_eq
cookie,0.18.1,MIT OR Apache-2.0,https://github.com/SergioBenitez/cookie-rs
cookie_store,0.22.1,MIT OR Apache-2.0,https://github.com/pfernie/cookie_store
core-foundation,0.10.1,MIT OR Apache-2.0,https://github.com/servo/core-foundation-rs
core-foundation,0.9.4,MIT OR Apache-2.0,https://github.com/servo/core-foundation-rs
core-foundation-sys,0.8.7,MIT OR Apache-2.0,https://github.com/servo/core-foundation-rs
core-graphics,0.25.0,MIT OR Apache-2.0,https://github.com/servo/core-foundation-rs
core-graphics-types,0.2.0,MIT OR Apache-2.0,https://github.com/servo/core-foundation-rs
cpufeatures,0.2.17,MIT OR Apache-2.0,https://github.com/RustCrypto/utils
cpufeatures,0.3.0,MIT OR Apache-2.0,https://github.com/RustCrypto/utils
crc32fast,1.5.0,MIT OR Apache-2.0,https://github.com/srijs/rust-crc32fast
critical-section,1.2.0,MIT OR Apache-2.0,https://github.com/rust-embedded/critical-section
crossbeam-channel,0.5.16,MIT OR Apache-2.0,https://github.com/crossbeam-rs/crossbeam
crossbeam-utils,0.8.22,MIT OR Apache-2.0,https://github.com/crossbeam-rs/crossbeam
crunchy,0.2.4,MIT,https://github.com/eira-fransham/crunchy
crypto-bigint,0.5.5,Apache-2.0 OR MIT,https://github.com/RustCrypto/crypto-bigint
crypto-common,0.1.7,MIT OR Apache-2.0,https://github.com/RustCrypto/traits
crypto-common,0.2.2,MIT OR Apache-2.0,https://github.com/RustCrypto/traits
cssparser,0.36.0,MPL-2.0,https://github.com/servo/rust-cssparser
cssparser-macros,0.6.1,MPL-2.0,https://github.com/servo/rust-cssparser
ctor,0.8.0,Apache-2.0 OR MIT,https://github.com/mmastrac/rust-ctor
ctor-proc-macro,0.0.7,Apache-2.0 OR MIT,https://github.com/mmastrac/rust-ctor
ctutils,0.4.2,Apache-2.0 OR MIT,https://github.com/RustCrypto/utils
curve25519-dalek,4.1.3,BSD-3-Clause,https://github.com/dalek-cryptography/curve25519-dalek/tree/main/curve25519-dalek
curve25519-dalek,5.0.0,BSD-3-Clause,https://github.com/dalek-cryptography/curve25519-dalek/tree/main/curve25519-dalek
curve25519-dalek-derive,0.1.1,MIT/Apache-2.0,https://github.com/dalek-cryptography/curve25519-dalek
darling,0.23.0,MIT,https://github.com/TedDriggs/darling
darling_core,0.23.0,MIT,https://github.com/TedDriggs/darling
darling_macro,0.23.0,MIT,https://github.com/TedDriggs/darling
data-encoding,2.11.1,MIT,https://github.com/ia0/data-encoding
data-encoding-macro,0.1.21,MIT,https://github.com/ia0/data-encoding
data-encoding-macro-internal,0.1.19,MIT,https://github.com/ia0/data-encoding
dbus,0.9.12,Apache-2.0/MIT,https://github.com/diwic/dbus-rs
der-parser,9.0.0,MIT/Apache-2.0,https://github.com/rusticata/der-parser.git
deranged,0.5.8,MIT OR Apache-2.0,https://github.com/jhpratt/deranged
derive_more,2.1.1,MIT,https://github.com/JelteF/derive_more
derive_more-impl,2.1.1,MIT,https://github.com/JelteF/derive_more
destructure_traitobject,0.2.0,MIT/Apache-2.0,https://github.com/philip-peterson/destructure_traitobject.git
digest,0.10.7,MIT OR Apache-2.0,https://github.com/RustCrypto/traits
digest,0.11.3,MIT OR Apache-2.0,https://github.com/RustCrypto/traits
dirs,6.0.0,MIT OR Apache-2.0,https://github.com/soc/dirs-rs
dirs-next,1.0.2,MIT OR Apache-2.0,https://github.com/xdg-rs/dirs
dirs-sys,0.5.0,MIT OR Apache-2.0,https://github.com/dirs-dev/dirs-sys-rs
dirs-sys-next,0.1.2,MIT OR Apache-2.0,https://github.com/xdg-rs/dirs/tree/master/dirs-sys
dispatch2,0.3.1,Zlib OR Apache-2.0 OR MIT,https://github.com/madsmtm/objc2
displaydoc,0.2.7,MIT OR Apache-2.0,https://github.com/yaahc/displaydoc
dlopen2,0.8.2,MIT,https://github.com/OpenByteDev/dlopen2
dlopen2_derive,0.4.3,MIT,https://github.com/OpenByteDev/dlopen2
doc-comment,0.3.4,MIT,https://github.com/GuillaumeGomez/doc-comment
document-features,0.2.12,MIT OR Apache-2.0,https://github.com/slint-ui/document-features
dom_query,0.27.0,MIT,https://github.com/niklak/dom_query
dpi,0.1.2,Apache-2.0 AND MIT,https://github.com/rust-windowing/winit
dtoa,1.0.11,MIT OR Apache-2.0,https://github.com/dtolnay/dtoa
dtoa-short,0.3.5,MPL-2.0,https://github.com/upsuper/dtoa-short
dtor,0.3.0,Apache-2.0 OR MIT,https://github.com/mmastrac/rust-ctor
dtor-proc-macro,0.0.6,Apache-2.0 OR MIT,https://github.com/mmastrac/rust-ctor
dunce,1.0.5,CC0-1.0 OR MIT-0 OR Apache-2.0,https://gitlab.com/kornelski/dunce
dyn-clone,1.0.20,MIT OR Apache-2.0,https://github.com/dtolnay/dyn-clone
ed25519,3.0.0,Apache-2.0 OR MIT,https://github.com/RustCrypto/signatures
ed25519-dalek,3.0.0,BSD-3-Clause,https://github.com/dalek-cryptography/curve25519-dalek/tree/main/ed25519-dalek
either,1.17.0,MIT OR Apache-2.0,https://github.com/rayon-rs/either
embed-resource,3.0.11,MIT,https://github.com/nabijaczleweli/rust-embed-resource
embed_plist,1.2.2,MIT OR Apache-2.0,https://github.com/nvzqz/embed-plist-rs
encoding_rs,0.8.35,(Apache-2.0 OR MIT) AND BSD-3-Clause,https://github.com/hsivonen/encoding_rs
equivalent,1.0.2,Apache-2.0 OR MIT,https://github.com/indexmap-rs/equivalent
erased-serde,0.4.10,MIT OR Apache-2.0,https://github.com/dtolnay/erased-serde
errno,0.3.14,MIT OR Apache-2.0,https://github.com/lambda-fairy/rust-errno
ethnum,1.5.3,MIT OR Apache-2.0,https://github.com/nlordell/ethnum-rs
faster-hex,0.9.0,MIT,https://github.com/NervosFoundation/faster-hex
fastrand,2.5.0,Apache-2.0 OR MIT,https://github.com/smol-rs/fastrand
fdeflate,0.3.7,MIT OR Apache-2.0,https://github.com/image-rs/fdeflate
ff,0.14.0,MIT/Apache-2.0,https://github.com/zkcrypto/ff
fiat-crypto,0.2.9,MIT OR Apache-2.0 OR BSD-1-Clause,https://github.com/mit-plv/fiat-crypto
fiat-crypto,0.3.0,MIT OR Apache-2.0 OR BSD-1-Clause,https://github.com/mit-plv/fiat-crypto
field-offset,0.3.6,MIT OR Apache-2.0,https://github.com/Diggsey/rust-field-offset
find-msvc-tools,0.1.9,MIT OR Apache-2.0,https://github.com/rust-lang/cc-rs
fixed-hash,0.8.0,MIT OR Apache-2.0,https://github.com/paritytech/parity-common
flate2,1.1.9,MIT OR Apache-2.0,https://github.com/rust-lang/flate2-rs
fnv,1.0.7,Apache-2.0 / MIT,https://github.com/servo/rust-fnv
foldhash,0.2.0,Zlib,https://github.com/orlp/foldhash
foreign-types,0.3.2,MIT/Apache-2.0,https://github.com/sfackler/foreign-types
foreign-types,0.5.0,MIT/Apache-2.0,https://github.com/sfackler/foreign-types
foreign-types-macros,0.2.4,MIT/Apache-2.0,https://github.com/sfackler/foreign-types
foreign-types-shared,0.1.1,MIT/Apache-2.0,https://github.com/sfackler/foreign-types
foreign-types-shared,0.3.1,MIT/Apache-2.0,https://github.com/sfackler/foreign-types
form_urlencoded,1.2.2,MIT OR Apache-2.0,https://github.com/servo/rust-url
fs_extra,1.3.0,MIT,https://github.com/webdesus/fs_extra
funty,2.0.0,MIT,https://github.com/myrrlyn/funty
futures,0.3.33,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-channel,0.3.33,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-core,0.3.33,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-executor,0.3.33,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-io,0.3.33,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-macro,0.3.33,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-sink,0.3.33,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-task,0.3.33,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-util,0.3.33,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
gdk,0.18.2,MIT,https://github.com/gtk-rs/gtk3-rs
gdk-pixbuf,0.18.5,MIT,https://github.com/gtk-rs/gtk-rs-core
gdk-pixbuf-sys,0.18.0,MIT,https://github.com/gtk-rs/gtk-rs-core
gdk-sys,0.18.2,MIT,https://github.com/gtk-rs/gtk3-rs
gdkwayland-sys,0.18.2,MIT,https://github.com/gtk-rs/gtk3-rs
gdkx11,0.18.2,MIT,https://github.com/gtk-rs/gtk3-rs
gdkx11-sys,0.18.2,MIT,https://github.com/gtk-rs/gtk3-rs
generic-array,0.14.7,MIT,https://github.com/fizyk20/generic-array.git
getrandom,0.2.17,MIT OR Apache-2.0,https://github.com/rust-random/getrandom
getrandom,0.3.4,MIT OR Apache-2.0,https://github.com/rust-random/getrandom
getrandom,0.4.3,MIT OR Apache-2.0,https://github.com/rust-random/getrandom
gio,0.18.4,MIT,https://github.com/gtk-rs/gtk-rs-core
gio-sys,0.18.1,MIT,https://github.com/gtk-rs/gtk-rs-core
gix-hash,0.15.1,MIT OR Apache-2.0,https://github.com/GitoxideLabs/gitoxide
glib,0.18.5,MIT,https://github.com/gtk-rs/gtk-rs-core
glib-macros,0.18.5,MIT,https://github.com/gtk-rs/gtk-rs-core
glib-sys,0.18.1,MIT,https://github.com/gtk-rs/gtk-rs-core
glob,0.3.4,MIT OR Apache-2.0,https://github.com/rust-lang/glob
gobject-sys,0.18.0,MIT,https://github.com/gtk-rs/gtk-rs-core
group,0.14.0,MIT/Apache-2.0,https://github.com/zkcrypto/group
gtk,0.18.2,MIT,https://github.com/gtk-rs/gtk3-rs
gtk-sys,0.18.2,MIT,https://github.com/gtk-rs/gtk3-rs
gtk3-macros,0.18.2,MIT,https://github.com/gtk-rs/gtk3-rs
h2,0.4.15,MIT,https://github.com/hyperium/h2
half,2.7.1,MIT OR Apache-2.0,https://github.com/VoidStarKat/half-rs
hashbrown,0.12.3,MIT OR Apache-2.0,https://github.com/rust-lang/hashbrown
hashbrown,0.17.1,MIT OR Apache-2.0,https://github.com/rust-lang/hashbrown
heck,0.3.3,MIT OR Apache-2.0,https://github.com/withoutboats/heck
heck,0.4.1,MIT OR Apache-2.0,https://github.com/withoutboats/heck
heck,0.5.0,MIT OR Apache-2.0,https://github.com/withoutboats/heck
hex,0.4.3,MIT OR Apache-2.0,https://github.com/KokaKiwi/rust-hex
hkdf,0.12.4,MIT OR Apache-2.0,https://github.com/RustCrypto/KDFs/
hkdf,0.13.0,MIT OR Apache-2.0,https://github.com/RustCrypto/KDFs/
hmac,0.12.1,MIT OR Apache-2.0,https://github.com/RustCrypto/MACs
hmac,0.13.0,MIT OR Apache-2.0,https://github.com/RustCrypto/MACs
hpke,0.14.0,MIT/Apache-2.0,https://github.com/rozbb/rust-hpke
html5ever,0.38.0,MIT OR Apache-2.0,https://github.com/servo/html5ever
http,1.5.0,MIT OR Apache-2.0,https://github.com/hyperium/http
http-body,1.1.0,MIT,https://github.com/hyperium/http-body
http-body-util,0.1.4,MIT,https://github.com/hyperium/http-body
httparse,1.10.1,MIT OR Apache-2.0,https://github.com/seanmonstar/httparse
humantime,2.4.0,MIT OR Apache-2.0,https://github.com/chronotope/humantime
hybrid-array,0.4.14,MIT OR Apache-2.0,https://github.com/RustCrypto/hybrid-array
hyper,1.11.0,MIT,https://github.com/hyperium/hyper
hyper-rustls,0.27.9,Apache-2.0 OR ISC OR MIT,https://github.com/rustls/hyper-rustls
hyper-util,0.1.20,MIT,https://github.com/hyperium/hyper-util
iana-time-zone,0.1.65,MIT OR Apache-2.0,https://github.com/strawlab/iana-time-zone
iana-time-zone-haiku,0.1.2,MIT OR Apache-2.0,https://github.com/strawlab/iana-time-zone
ico,0.5.0,MIT,https://github.com/mdsteele/rust-ico
icu_collections,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
icu_locale_core,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
icu_normalizer,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
icu_normalizer_data,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
icu_properties,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
icu_properties_data,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
icu_provider,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
ident_case,1.0.1,MIT/Apache-2.0,https://github.com/TedDriggs/ident_case
idna,1.1.0,MIT OR Apache-2.0,https://github.com/servo/rust-url/
idna_adapter,1.2.2,Apache-2.0 OR MIT,https://github.com/hsivonen/idna_adapter
impl-codec,0.6.0,MIT OR Apache-2.0,
impl-serde,0.4.0,MIT OR Apache-2.0,
impl-trait-for-tuples,0.2.3,Apache-2.0/MIT,https://github.com/bkchr/impl-trait-for-tuples
indexmap,1.9.3,Apache-2.0 OR MIT,https://github.com/bluss/indexmap
indexmap,2.14.0,Apache-2.0 OR MIT,https://github.com/indexmap-rs/indexmap
infer,0.19.0,MIT,https://github.com/bojand/infer
inout,0.1.4,MIT OR Apache-2.0,https://github.com/RustCrypto/utils
inout,0.2.2,MIT OR Apache-2.0,https://github.com/RustCrypto/utils
ipnet,2.12.1,MIT OR Apache-2.0,https://github.com/krisprice/ipnet
itertools,0.12.1,MIT OR Apache-2.0,https://github.com/rust-itertools/itertools
itertools,0.13.0,MIT OR Apache-2.0,https://github.com/rust-itertools/itertools
itertools,0.14.0,MIT OR Apache-2.0,https://github.com/rust-itertools/itertools
itoa,1.0.18,MIT OR Apache-2.0,https://github.com/dtolnay/itoa
javascriptcore-rs,1.1.2,MIT,https://github.com/tauri-apps/javascriptcore-rs
javascriptcore-rs-sys,1.1.1,MIT,https://github.com/tauri-apps/javascriptcore-rs
jni,0.21.1,MIT/Apache-2.0,https://github.com/jni-rs/jni-rs
jni,0.22.4,MIT OR Apache-2.0,https://github.com/jni-rs/jni-rs
jni-macros,0.22.4,MIT OR Apache-2.0,https://github.com/jni-rs/jni-rs
jni-sys,0.3.1,MIT OR Apache-2.0,https://github.com/jni-rs/jni-sys
jni-sys,0.4.1,MIT OR Apache-2.0,https://github.com/jni-rs/jni-sys
jni-sys-macros,0.4.1,MIT OR Apache-2.0,https://github.com/jni-rs/jni-sys
jobserver,0.1.35,MIT OR Apache-2.0,https://github.com/rust-lang/jobserver-rs
js-sys,0.3.103,MIT OR Apache-2.0,https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/js-sys
json-patch,3.0.1,MIT/Apache-2.0,https://github.com/idubrov/json-patch
jsonptr,0.6.3,MIT OR Apache-2.0,https://github.com/chanced/jsonptr
keccak,0.1.6,Apache-2.0 OR MIT,https://github.com/RustCrypto/sponges/tree/master/keccak
keyboard-types,0.7.0,MIT OR Apache-2.0,https://github.com/pyfisch/keyboard-types
keyring,3.6.3,MIT OR Apache-2.0,https://github.com/hwchen/keyring-rs.git
keyring-core,1.0.0,MIT OR Apache-2.0,https://github.com/open-source-cooperative/keyring-core.git
konst,0.2.20,Zlib,https://github.com/rodrimati1992/konst/
konst_macro_rules,0.2.19,Zlib,https://github.com/rodrimati1992/konst/
lazy_static,1.5.0,MIT OR Apache-2.0,https://github.com/rust-lang-nursery/lazy-static.rs
libappindicator,0.9.0,Apache-2.0 OR MIT,
libappindicator-sys,0.9.0,Apache-2.0 OR MIT,
libc,0.2.189,MIT OR Apache-2.0,https://github.com/rust-lang/libc
libdbus-sys,0.2.7,Apache-2.0/MIT,https://github.com/diwic/dbus-rs
libloading,0.7.4,ISC,https://github.com/nagisa/rust_libloading/
libp2p-identity,0.2.14,MIT,https://github.com/libp2p/rust-libp2p
libredox,0.1.19,MIT,https://gitlab.redox-os.org/redox-os/libredox.git
linux-raw-sys,0.12.1,Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT,https://github.com/sunfishcode/linux-raw-sys
litemap,0.8.2,Unicode-3.0,https://github.com/unicode-org/icu4x
litrs,1.0.0,MIT OR Apache-2.0,https://github.com/LukasKalbertodt/litrs
lock_api,0.4.14,MIT OR Apache-2.0,https://github.com/Amanieu/parking_lot
log,0.4.33,MIT OR Apache-2.0,https://github.com/rust-lang/log
log4rs,1.4.0,MIT OR Apache-2.0,https://github.com/estk/log4rs
lru-slab,0.1.2,MIT OR Apache-2.0 OR Zlib,https://github.com/Ralith/lru-slab
markup5ever,0.38.0,MIT OR Apache-2.0,https://github.com/servo/html5ever
match-lookup,0.1.2,MIT,https://github.com/mriise/smol-base-x
memchr,2.8.3,Unlicense OR MIT,https://github.com/BurntSushi/memchr
memoffset,0.9.1,MIT,https://github.com/Gilnaa/memoffset
merlin,3.0.0,MIT,https://github.com/zkcrypto/merlin
mime,0.3.17,MIT OR Apache-2.0,https://github.com/hyperium/mime
minicbor,2.3.0,BlueOak-1.0.0,https://github.com/twittner/minicbor
minicbor-derive,0.19.5,BlueOak-1.0.0,https://github.com/twittner/minicbor
minimal-lexical,0.2.1,MIT/Apache-2.0,https://github.com/Alexhuszagh/minimal-lexical
miniz_oxide,0.8.9,MIT OR Zlib OR Apache-2.0,https://github.com/Frommi/miniz_oxide/tree/master/miniz_oxide
mio,1.2.2,MIT,https://github.com/tokio-rs/mio
mock_instant,0.6.1,0BSD,https://github.com/museun/mock_instant
muda,0.19.3,Apache-2.0 OR MIT,https://github.com/tauri-apps/muda
multiaddr,0.18.2,MIT,https://github.com/multiformats/rust-multiaddr
multibase,0.9.3,MIT,https://github.com/multiformats/rust-multibase
multihash,0.19.5,MIT,https://github.com/multiformats/rust-multihash
ndk,0.9.0,MIT OR Apache-2.0,https://github.com/rust-mobile/ndk
ndk-sys,0.6.0+11769913,MIT OR Apache-2.0,https://github.com/rust-mobile/ndk
new_debug_unreachable,1.0.6,MIT,https://github.com/mbrubeck/rust-debug-unreachable
newtype-ops,0.1.5,WTFPL,https://github.com/ExpHP/newtype-ops
nom,7.1.3,MIT,https://github.com/Geal/nom
num-bigint,0.4.8,MIT OR Apache-2.0,https://github.com/rust-num/num-bigint
num-conv,0.2.2,MIT OR Apache-2.0,https://github.com/jhpratt/num-conv
num-integer,0.1.46,MIT OR Apache-2.0,https://github.com/rust-num/num-integer
num-traits,0.2.19,MIT OR Apache-2.0,https://github.com/rust-num/num-traits
num_enum,0.7.6,BSD-3-Clause OR MIT OR Apache-2.0,https://github.com/illicitonion/num_enum
num_enum_derive,0.7.6,BSD-3-Clause OR MIT OR Apache-2.0,https://github.com/illicitonion/num_enum
objc2,0.6.4,MIT,https://github.com/madsmtm/objc2
objc2-app-kit,0.3.2,Zlib OR Apache-2.0 OR MIT,https://github.com/madsmtm/objc2
objc2-cloud-kit,0.3.2,Zlib OR Apache-2.0 OR MIT,https://github.com/madsmtm/objc2
objc2-core-data,0.3.2,Zlib OR Apache-2.0 OR MIT,https://github.com/madsmtm/objc2
objc2-core-foundation,0.3.2,Zlib OR Apache-2.0 OR MIT,https://github.com/madsmtm/objc2
objc2-core-graphics,0.3.2,Zlib OR Apache-2.0 OR MIT,https://github.com/madsmtm/objc2
objc2-core-image,0.3.2,Zlib OR Apache-2.0 OR MIT,https://github.com/madsmtm/objc2
objc2-core-location,0.3.2,Zlib OR Apache-2.0 OR MIT,https://github.com/madsmtm/objc2
objc2-core-text,0.3.2,Zlib OR Apache-2.0 OR MIT,https://github.com/madsmtm/objc2
objc2-encode,4.1.0,MIT,https://github.com/madsmtm/objc2
objc2-exception-helper,0.1.1,Zlib OR Apache-2.0 OR MIT,https://github.com/madsmtm/objc2
objc2-foundation,0.3.2,MIT,https://github.com/madsmtm/objc2
objc2-io-surface,0.3.2,Zlib OR Apache-2.0 OR MIT,https://github.com/madsmtm/objc2
objc2-quartz-core,0.3.2,Zlib OR Apache-2.0 OR MIT,https://github.com/madsmtm/objc2
objc2-ui-kit,0.3.2,Zlib OR Apache-2.0 OR MIT,https://github.com/madsmtm/objc2
objc2-user-notifications,0.3.2,Zlib OR Apache-2.0 OR MIT,https://github.com/madsmtm/objc2
objc2-web-kit,0.3.2,Zlib OR Apache-2.0 OR MIT,https://github.com/madsmtm/objc2
oid-registry,0.7.1,MIT OR Apache-2.0,https://github.com/rusticata/oid-registry.git
once_cell,1.21.4,MIT OR Apache-2.0,https://github.com/matklad/once_cell
ootle-network,0.2.0,BSD-3-Clause,https://github.com/tari-project/tari-ootle
ootle_byte_type,0.12.0,BSD-3-Clause,https://github.com/tari-project/tari-ootle
